ts,datetime_utc,equity,B&H BTC,Equiponderado
1587095999999,2020-04-17 03:59,11405.54684491,7019.0388876682000000,7429.5594361150000000
1587110399999,2020-04-17 07:59,11405.54684491,6976.6446962962000000,7367.6767027930000000
1587124799999,2020-04-17 11:59,11405.54684491,7007.5785887389000000,7374.4577494585000000
1587139199999,2020-04-17 15:59,11405.54684491,6971.2562757106000000,7367.0396694640000000
1587153599999,2020-04-17 19:59,11405.54684491,7005.6966036079000000,7410.0883182235000000
1587167999999,2020-04-17 23:59,11405.54684491,6960.9647885995000000,7382.0083313185000000
1587182399999,2020-04-18 03:59,11405.54684491,7019.6530091320000000,7461.8666016100000000
1587196799999,2020-04-18 07:59,11405.54684491,7022.5453231228000000,7470.8556265870000000
1587211199999,2020-04-18 11:59,11405.54684491,7037.2049967748000000,7498.5283151980000000
1587225599999,2020-04-18 15:59,11405.54684491,7174.7384891113000000,7804.5523103725000000
1587239999999,2020-04-18 19:59,11405.54684491,7142.8735092880000000,7742.9055413500000000
1587254399999,2020-04-18 23:59,11405.54684491,7179.9189008140000000,7873.4284278100000000
1587268799999,2020-04-19 03:59,11405.54684491,7161.4556361604000000,7850.9397010480000000
1587283199999,2020-04-19 07:59,11405.54684491,7079.0544029773000000,7704.5962884505000000
1587297599999,2020-04-19 11:59,11405.54684491,7095.3187165831000000,7729.4141337625000000
1587311999999,2020-04-19 15:59,11405.54684491,7030.0831688317000000,7601.4820818745000000
