ts,datetime_utc,equity,B&H BTC,B&H BTC filtrado
1688745599999,2023-07-07 15:59,28018.8901252800000000,30102.7256156467000000,34661.6557246539000000
1688759999999,2023-07-07 19:59,27936.6779497500000000,29959.4669264380000000,34496.7011122860000000
1688774399999,2023-07-07 23:59,27992.6684032500000000,30057.0329977030000000,34609.0431527910000000
1688788799999,2023-07-08 03:59,27952.9521292800000000,29987.8254708067000000,34529.3544383739000000
1688803199999,2023-07-08 07:59,27906.6420557100000000,29907.1279294264000000,34436.4355953288000000
1688817599999,2023-07-08 11:59,27911.3884545600000000,29915.3987588179000000,34445.9590068843000000
1688831999999,2023-07-08 15:59,27914.9638855500000000,29921.6291201200000000,34453.1329300800000000
1688846399999,2023-07-08 19:59,27860.3945095500000000,29826.5393450800000000,34343.6422104000000000
1688860799999,2023-07-08 23:59,27958.5227530800000000,29997.5325520087000000,34540.5316160079000000
1688875199999,2023-07-09 03:59,27960.4326812400000000,30000.8606941351000000,34544.3637911967000000
1688889599999,2023-07-09 07:59,27947.3644525500000000,29978.0886740500000000,34518.1430448900000000
1688903999999,2023-07-09 11:59,27948.3251009400000000,29979.7626502981000000,34520.0705377677000000
1688918399999,2023-07-09 15:59,27995.3798191200000000,30061.7577709003000000,34614.4834729251000000
1688932799999,2023-07-09 19:59,27934.5292805700000000,29955.7227665458000000,34492.3899151986000000
1688947199999,2023-07-09 23:59,27888.0827835600000000,29874.7875007279000000,34399.1973453543000000
1688961599999,2023-07-10 03:59,27885.5021068200000000,29870.2905467833000000,34394.0193467361000000
1688975999999,2023-07-10 07:59,27860.4513526500000000,29826.6383969290000000,34343.7562632330000000
1688990399999,2023-07-10 11:59,27933.1536775500000000,29953.3257118000000000,34489.6298366400000000
1689004799999,2023-07-10 15:59,27974.5411386600000000,30025.4453630569000000,34572.6717043473000000
1689019199999,2023-07-10 19:59,28272.7343569500000000,30545.0614577260000000,35170.9814609820000000
1689033599999,2023-07-10 23:59,28030.6793842200000000,30123.2689691293000000,34685.3102822181000000
1689047999999,2023-07-11 03:59,28067.3033935500000000,30187.0880754400000000,34758.7945225200000000
1689062399999,2023-07-11 07:59,28101.0568263300000000,30245.9050633762000000,34826.5190947554000000
1689076799999,2023-07-11 11:59,28026.5525751600000000,30116.0778048919000000,34677.0300465423000000
1689091199999,2023-07-11 15:59,28135.7709075000000000,30306.3960275605000000,34896.1711598685000000
1689105599999,2023-07-11 19:59,28127.5513952400000000,30292.0731301951000000,34879.6791202167000000
1689119999999,2023-07-11 23:59,28150.3511626500000000,30331.8028268290000000,34925.4257115330000000
1689134399999,2023-07-12 03:59,28131.1495634700000000,30298.3431122368000000,34886.8986645456000000
1689148799999,2023-07-12 07:59,28217.3691775500000000,30448.5849568000000000,35059.8940016400000000
1689163199999,2023-07-12 11:59,28237.9748013000000000,30484.4912520625000000,35101.2381536025000000
1689177599999,2023-07-12 15:59,28094.9461930800000000,30235.2569896087000000,34814.2584152079000000
1689191999999,2023-07-12 19:59,27960.1370971200000000,30000.3456245203000000,34543.7707164651000000
1689206399999,2023-07-12 23:59,28012.7340175500000000,30091.9983004000000000,34649.3038028400000000
1689220799999,2023-07-13 03:59,27966.1283598600000000,30010.7856894049000000,34555.7918850633000000
1689235199999,2023-07-13 07:59,28004.7873521700000000,30078.1508519098000000,34633.3592167866000000
1689249599999,2023-07-13 11:59,28105.9510172400000000,30254.4334275751000000,34836.3390436767000000
1689263999999,2023-07-13 15:59,28318.2543114300000000,30624.3821784052000000,35262.3149696484000000
1689278399999,2023-07-13 19:59,28709.6361078600000000,31306.3838743249000000,36047.6029407033000000
1689292799999,2023-07-13 23:59,28623.3596506800000000,31156.0429779127000000,35874.4935507759000000
1689307199999,2023-07-14 03:59,28626.6394975500000000,31161.7582696000000000,35881.0743992400000000
1689321599999,2023-07-14 07:59,28421.2881144900000000,30803.9235599026000000,35469.0471347442000000
1689335999999,2023-07-14 11:59,28484.2986908400000000,30913.7225345191000000,35595.4747001247000000
1689350399999,2023-07-14 15:59,28501.8575244300000000,30944.3196506752000000,35630.7056202384000000
1689364799999,2023-07-14 19:59,27862.1964358200000000,29829.6792886933000000,34347.2576852061000000
1689379199999,2023-07-14 23:59,27974.0863938600000000,30024.6529482649000000,34571.7592816833000000
1689393599999,2023-07-15 03:59,27963.2293617600000000,30005.7340451059000000,34549.9751905803000000
1689407999999,2023-07-15 07:59,27988.8599155500000000,30050.3965238200000000,34601.4016129800000000
1689422399999,2023-07-15 11:59,27974.0750252400000000,30024.6331378951000000,34571.7364711167000000
1689436799999,2023-07-15 15:59,27969.1978872600000000,30016.1344892509000000,34561.9507380453000000
1689451199999,2023-07-15 19:59,27982.3059061200000000,30038.9758456303000000,34588.2513213351000000
1689465599999,2023-07-15 23:59,27961.3023806700000000,30002.3761874248000000,34546.1087995416000000
1689479999999,2023-07-16 03:59,27903.5952655500000000,29901.8187503200000000,34430.3223634800000000
1689494399999,2023-07-16 07:59,27947.4895073700000000,29978.3065881178000000,34518.3939611226000000
1689508799999,2023-07-16 11:59,27970.6758078600000000,30018.7098373249000000,34564.9161117033000000
1689523199999,2023-07-16 15:59,28012.7055960000000000,30091.9487744755000000,34649.2467764235000000
1689537599999,2023-07-16 19:59,27940.5034903800000000,29966.1331158757000000,34504.3768679469000000
1689551999999,2023-07-16 23:59,27928.6005452400000000,29945.3916586951000000,34480.4942047167000000
1689566399999,2023-07-17 03:59,27974.4558740100000000,30025.2967852834000000,34572.5006250978000000
1689580799999,2023-07-17 07:59,27956.4593485500000000,29993.9369698900000000,34536.3914981700000000
1689595199999,2023-07-17 11:59,27888.6455302500000000,29875.7681140330000000,34400.3264684010000000
1689609599999,2023-07-17 15:59,27896.1090292800000000,29888.7736218067000000,34415.3016053739000000
1689623999999,2023-07-17 19:59,27731.0139296400000000,29601.0874315711000000,34084.0465572087000000
1689638399999,2023-07-17 23:59,27875.1737155500000000,29852.2928258200000000,34373.2959469800000000
1689652799999,2023-07-18 03:59,27838.7713943100000000,29788.8600217204000000,34300.2565127268000000
1689667199999,2023-07-18 07:59,27778.6143415800000000,29684.0334499237000000,34179.5543995629000000
1689681599999,2023-07-18 11:59,27730.7979258600000000,29600.7110345449000000,34083.6131564433000000
1689695999999,2023-07-18 15:59,27746.7083095500000000,29628.4356470800000000,34115.5365444000000000
1689710399999,2023-07-18 19:59,27635.2901492400000000,29434.2841178551000000,33891.9815864367000000
1689724799999,2023-07-18 23:59,27716.6553625800000000,29576.0669345137000000,34055.2368115929000000
1689739199999,2023-07-19 03:59,27830.3301939600000000,29774.1508221439000000,34283.3196670263000000
1689753599999,2023-07-19 07:59,27797.1167706300000000,29716.2748267732000000,34216.6785967044000000
1689767999999,2023-07-19 11:59,27803.9095210800000000,29728.1115227287000000,34230.3079102479000000
1689782399999,2023-07-19 15:59,27771.9807518100000000,29672.4740991454000000,34166.2444339518000000
1689796799999,2023-07-19 19:59,27821.9174151600000000,29759.4911484919000000,34266.4398477423000000
1689811199999,2023-07-19 23:59,27745.1223870600000000,29625.6721004929000000,34112.3544703593000000
1689825599999,2023-07-20 03:59,27767.1775098600000000,29664.1042179049000000,34156.6069695633000000
1689839999999,2023-07-20 07:59,27911.9909914200000000,29916.4487084173000000,34447.1679669141000000
1689854399999,2023-07-20 11:59,27958.6762294500000000,29997.7999920010000000,34540.8395586570000000
1689868799999,2023-07-20 15:59,27688.8306651300000000,29527.5810544282000000,33999.4079498394000000
1689883199999,2023-07-20 19:59,27658.0330735500000000,29473.9147626400000000,33937.6141249200000000
1689897599999,2023-07-20 23:59,27683.0440375500000000,29517.4975762000000000,33987.7973714400000000
1689911999999,2023-07-21 03:59,27738.5342717700000000,29614.1919911938000000,34099.1357470146000000
1689926399999,2023-07-21 07:59,27664.1778126600000000,29484.6222675169000000,33949.9432361673000000
1689940799999,2023-07-21 11:59,27670.8284553600000000,29496.2113338499000000,33963.2874176283000000
1689955199999,2023-07-21 15:59,27720.5604835500000000,29582.8717965400000000,34063.0722412200000000
1689969599999,2023-07-21 19:59,27726.2391092400000000,29592.7670762551000000,34074.4661192367000000
1689983999999,2023-07-21 23:59,27740.8648388700000000,29618.2531170028000000,34103.8119131676000000
1689998399999,2023-07-22 03:59,27715.34269336,29619.9270932509000000,34105.7394060453000000
1690012799999,2023-07-22 07:59,27715.34269336,29660.8949379973000000,34054.32836265
1690027199999,2023-07-22 11:59,27715.34269336,29603.6132537206000000,34054.32836265
1690041599999,2023-07-22 15:59,27715.34269336,29616.7871496376000000,34054.32836265
1690055999999,2023-07-22 19:59,27715.34269336,29553.1562418400000000,34054.32836265
1690070399999,2023-07-22 23:59,27715.34269336,29511.5544652600000000,34054.32836265
1690084799999,2023-07-23 03:59,27715.34269336,29562.7840815628000000,34054.32836265
1690099199999,2023-07-23 07:59,27715.34269336,29632.3977210400000000,34054.32836265
1690113599999,2023-07-23 11:59,27715.34269336,29605.2377040442000000,34054.32836265
1690127999999,2023-07-23 15:59,27715.34269336,29614.2118015636000000,34054.32836265
1690142399999,2023-07-23 19:59,27715.34269336,29807.8383559888000000,34054.32836265
1690156799999,2023-07-23 23:59,27715.34269336,29798.5571977375000000,34054.32836265
1690171199999,2023-07-24 03:59,27715.34269336,29434.3039282249000000,34054.32836265
1690185599999,2023-07-24 07:59,27715.34269336,29545.2320939200000000,34054.32836265
1690199999999,2023-07-24 11:59,27715.34269336,28992.5128713151000000,34054.32836265
1690214399999,2023-07-24 15:59,27715.34269336,28817.9736081922000000,34054.32836265
1690228799999,2023-07-24 19:59,27715.34269336,28841.9540608351000000,34054.32836265
1690243199999,2023-07-24 23:59,27715.34269336,28899.9092976850000000,34054.32836265
1690257599999,2023-07-25 03:59,27715.34269336,28835.0303365900000000,34054.32836265
1690271999999,2023-07-25 07:59,27715.34269336,28866.1920482854000000,34054.32836265
1690286399999,2023-07-25 11:59,27715.34269336,28852.1564012821000000,34054.32836265
1690300799999,2023-07-25 15:59,27715.34269336,28904.8717953199000000,34054.32836265
1690315199999,2023-07-25 19:59,27715.34269336,28922.0275755667000000,34054.32836265
1690329599999,2023-07-25 23:59,27715.34269336,28951.8223717459000000,34054.32836265
1690343999999,2023-07-26 03:59,27715.34269336,28965.5905787569000000,34054.32836265
1690358399999,2023-07-26 07:59,27715.34269336,28939.6389943189000000,34054.32836265
1690372799999,2023-07-26 11:59,27715.34269336,28898.8098221611000000,34054.32836265
1690387199999,2023-07-26 15:59,27715.34269336,29046.0107749600000000,34054.32836265
1690401599999,2023-07-26 19:59,27715.34269336,29123.2018808857000000,34054.32836265
1690415999999,2023-07-26 23:59,27715.34269336,29073.7056719404000000,34054.32836265
1690430399999,2023-07-27 03:59,27715.34269336,29127.0153770722000000,34054.32836265
1690444799999,2023-07-27 07:59,27715.34269336,29133.3447902233000000,34054.32836265
1690459199999,2023-07-27 11:59,27715.34269336,29227.3053741847000000,34054.32836265
1690473599999,2023-07-27 15:59,27715.34269336,29014.3240884649000000,34054.32836265
1690487999999,2023-07-27 19:59,27715.34269336,28887.3594284167000000,34054.32836265
1690502399999,2023-07-27 23:59,27715.34269336,28945.7504934022000000,34054.32836265
1690516799999,2023-07-28 03:59,27715.34269336,28976.5259028865000000,34054.32836265
1690531199999,2023-07-28 07:59,27715.34269336,28864.5477875920000000,34054.32836265
1690545599999,2023-07-28 11:59,27715.34269336,28929.7139990491000000,34054.32836265
1690559999999,2023-07-28 15:59,27715.34269336,29109.3940531351000000,34054.32836265
1690574399999,2023-07-28 19:59,27715.34269336,29038.0866270400000000,34054.32836265
1690588799999,2023-07-28 23:59,27715.34269336,29036.2442626486000000,34054.32836265
1690603199999,2023-07-29 03:59,27715.34269336,29093.4467054461000000,34054.32836265
1690617599999,2023-07-29 07:59,27715.34269336,29017.2956439349000000,34054.32836265
1690631999999,2023-07-29 11:59,27715.34269336,28989.7097039884000000,34054.32836265
1690646399999,2023-07-29 15:59,27715.34269336,29014.6509595666000000,34054.32836265
1690660799999,2023-07-29 19:59,27715.34269336,29059.8978441898000000,34054.32836265
1690675199999,2023-07-29 23:59,27715.34269336,29074.6367593210000000,34054.32836265
1690689599999,2023-07-30 03:59,27715.34269336,29037.0168670708000000,34054.32836265
1690703999999,2023-07-30 07:59,27715.34269336,29016.6022809919000000,34054.32836265
1690718399999,2023-07-30 11:59,27715.34269336,29036.1055900600000000,34054.32836265
1690732799999,2023-07-30 15:59,27715.34269336,29071.1402290513000000,34054.32836265
1690747199999,2023-07-30 19:59,27715.34269336,28925.4448643572000000,34054.32836265
1690761599999,2023-07-30 23:59,27715.34269336,29003.5076265541000000,34054.32836265
1690775999999,2023-07-31 03:59,27715.34269336,29143.0716817951000000,34054.32836265
1690790399999,2023-07-31 07:59,27715.34269336,29095.1503972489000000,34054.32836265
1690804799999,2023-07-31 11:59,27715.34269336,29127.2233859551000000,34054.32836265
1690819199999,2023-07-31 15:59,27715.34269336,28970.7115593502000000,34054.32836265
1690833599999,2023-07-31 19:59,27715.34269336,28881.0696360052000000,34054.32836265
1690847999999,2023-07-31 23:59,27715.34269336,28955.1307035025000000,34054.32836265
1690862399999,2023-08-01 03:59,27715.34269336,28561.6472333500000000,34054.32836265
1690876799999,2023-08-01 07:59,27715.34269336,28662.9772748770000000,34054.32836265
1690891199999,2023-08-01 11:59,27715.34269336,28588.5794310931000000,34054.32836265
1690905599999,2023-08-01 15:59,27715.34269336,28679.5189336600000000,34054.32836265
1690919999999,2023-08-01 19:59,27715.34269336,28996.8909630409000000,34054.32836265
1690934399999,2023-08-01 23:59,27715.34269336,29424.3789329551000000,34054.32836265
1690948799999,2023-08-02 03:59,27715.34269336,29352.0413676304000000,34054.32836265
1690963199999,2023-08-02 07:59,27715.34269336,29296.8694877374000000,34054.32836265
1690977599999,2023-08-02 11:59,27715.34269336,29282.2395296401000000,34054.32836265
1690991999999,2023-08-02 15:59,27715.34269336,29043.4354268860000000,34054.32836265
1691006399999,2023-08-02 19:59,27715.34269336,28875.2057665444000000,34054.32836265
1691020799999,2023-08-02 23:59,27715.34269336,28909.3291285249000000,34054.32836265
1691035199999,2023-08-03 03:59,27715.34269336,28905.4958219686000000,34054.32836265
1691049599999,2023-08-03 07:59,27715.34269336,28768.8339859033000000,34054.32836265
1691063999999,2023-08-03 11:59,27715.34269336,28869.7083889249000000,34054.32836265
1691078399999,2023-08-03 15:59,27715.34269336,28981.6964094043000000,34054.32836265
1691092799999,2023-08-03 19:59,27715.34269336,29003.7354458068000000,34054.32836265
1691107199999,2023-08-03 23:59,27715.34269336,28916.8867846036000000,34054.32836265
1691121599999,2023-08-04 03:59,27715.34269336,28884.8435114521000000,34054.32836265
1691135999999,2023-08-04 07:59,27715.34269336,28935.9839810908000000,34054.32836265
1691150399999,2023-08-04 11:59,27715.34269336,28891.0045364599000000,34054.32836265
1691164799999,2023-08-04 15:59,27715.34269336,28996.7621956372000000,34054.32836265
1691179199999,2023-08-04 19:59,27715.34269336,28756.8388069894000000,34054.32836265
1691193599999,2023-08-04 23:59,27715.34269336,28837.9919868751000000,34054.32836265
1691207999999,2023-08-05 03:59,27715.34269336,28818.7164970597000000,34054.32836265
1691222399999,2023-08-05 07:59,27715.34269336,28777.3920656569000000,34054.32836265
1691236799999,2023-08-05 11:59,27715.34269336,28772.6276717200000000,34054.32836265
1691251199999,2023-08-05 15:59,27715.34269336,28766.1793963501000000,34054.32836265
1691265599999,2023-08-05 19:59,27715.34269336,28791.7942045015000000,34054.32836265
1691279999999,2023-08-05 23:59,27715.34269336,28796.5288828837000000,34054.32836265
1691294399999,2023-08-06 03:59,27715.34269336,28788.4660623751000000,34054.32836265
1691308799999,2023-08-06 07:59,27715.34269336,28816.8840378532000000,34054.32836265
1691323199999,2023-08-06 11:59,27715.34269336,28802.3531316049000000,34054.32836265
1691337599999,2023-08-06 15:59,27715.34269336,28737.8901882757000000,34054.32836265
1691351999999,2023-08-06 19:59,27715.34269336,28812.2484113200000000,34054.32836265
1691366399999,2023-08-06 23:59,27715.34269336,28812.6644290858000000,34054.32836265
1691380799999,2023-08-07 03:59,27715.34269336,28886.2104269683000000,34054.32836265
1691395199999,2023-08-07 07:59,27715.34269336,28818.2806689241000000,34054.32836265
1691409599999,2023-08-07 11:59,27715.34269336,28815.6557949256000000,34054.32836265
1691423999999,2023-08-07 15:59,27715.34269336,28584.8649867556000000,34054.32836265
1691438399999,2023-08-07 19:59,27715.34269336,28878.5240034859000000,34054.32836265
1691452799999,2023-08-07 23:59,27715.34269336,28934.1416166994000000,34054.32836265
1691467199999,2023-08-08 03:59,27715.34269336,28918.3131312292000000,34054.32836265
1691481599999,2023-08-08 07:59,27715.34269336,28910.9238632938000000,34054.32836265
1691495999999,2023-08-08 11:59,27715.34269336,29159.5539094687000000,34054.32836265
1691510399999,2023-08-08 15:59,27715.34269336,29255.3964785611000000,34054.32836265
1691524799999,2023-08-08 19:59,27715.34269336,29600.9388537976000000,34054.32836265
1691539199999,2023-08-08 23:59,27715.34269336,29488.1980392658000000,34054.32836265
1691553599999,2023-08-09 03:59,27715.34269336,29434.3039282249000000,34054.32836265
1691567999999,2023-08-09 07:59,27715.34269336,29535.3269090200000000,34054.32836265
1691582399999,2023-08-09 11:59,27715.34269336,29604.9801692368000000,34054.32836265
1691596799999,2023-08-09 15:59,27715.34269336,29479.5607180330000000,34054.32836265
1691611199999,2023-08-09 19:59,27715.34269336,29137.3563901078000000,34054.32836265
1691625599999,2023-08-09 23:59,27715.34269336,29301.5546401951000000,34054.32836265
1691639999999,2023-08-10 03:59,27715.34269336,29302.1885720287000000,34054.32836265
1691654399999,2023-08-10 07:59,27715.34269336,29232.2282510800000000,34054.32836265
1691668799999,2023-08-10 11:59,27715.34269336,29224.3140083449000000,34054.32836265
1691683199999,2023-08-10 15:59,27715.34269336,29186.6644005400000000,34054.32836265
1691697599999,2023-08-10 19:59,27715.34269336,29165.3880633748000000,34054.32836265
1691711999999,2023-08-10 23:59,27715.34269336,29176.5115860175000000,34054.32836265
1691726399999,2023-08-11 03:59,27715.34269336,29133.1764020800000000,34054.32836265
1691740799999,2023-08-11 07:59,27715.34269336,29138.4063397072000000,34054.32836265
1691755199999,2023-08-11 11:59,27715.34269336,29166.8144100004000000,34054.32836265
1691769599999,2023-08-11 15:59,27715.34269336,29117.2191492061000000,34054.32836265
1691783999999,2023-08-11 19:59,27715.34269336,29118.0809002924000000,34054.32836265
1691798399999,2023-08-11 23:59,27715.34269336,29147.0733764947000000,34054.32836265
1691812799999,2023-08-12 03:59,27715.34269336,29123.3405534743000000,34054.32836265
1691827199999,2023-08-12 07:59,27715.34269336,29142.5764225501000000,34054.32836265
1691841599999,2023-08-12 11:59,27715.34269336,29150.8571571265000000,34054.32836265
