ts,datetime_utc,equity,B&H BTC (OOS)
1688299199999,2023-07-02 11:59,11244.90007183312760371873196,7321.978523759411607183063233
1688313599999,2023-07-02 15:59,11256.55211863646484952079821,7310.776797958926261314380629
1688327999999,2023-07-02 19:59,11254.24855306134891676435678,7325.094775319572306868337657
1688342399999,2023-07-02 23:59,11290.80274435597031408390224,7339.307279550489836432946935
1688356799999,2023-07-03 03:59,11313.47450001298261154804277,7372.775821306615751052794250
1688371199999,2023-07-03 07:59,11329.53128549258854557199151,7351.331216339540659218590405
1688385599999,2023-07-03 11:59,11325.15724057219190177540080,7341.270518033391077234669822
1688399999999,2023-07-03 15:59,11323.77549152448900391093133,7447.563461633887804499622527
1688414399999,2023-07-03 19:59,11322.19010522727081811027043,7492.437484100201879967574235
1688428799999,2023-07-03 23:59,11305.02124530021924728969574,7468.552614449862486379824726
1688443199999,2023-07-04 03:59,11317.22406111591037869494378,7478.018827842996796423785265
1688457599999,2023-07-04 07:59,11287.22379781178184149883374,7409.873597572036511306107318
1688471999999,2023-07-04 11:59,11310.16683423105412344396753,7447.407649055879769515358806
1688486399999,2023-07-04 15:59,11334.56551118096459387552518,7422.568727004814254023963742
1688500799999,2023-07-04 19:59,11289.18059301050978935624350,7358.438667013291793500773996
1688515199999,2023-07-04 23:59,11271.75597587695455584276790,7375.139378259168404814087006
1688529599999,2023-07-05 03:59,11286.76083767611684489254895,7399.637909755200982339859787
1688543999999,2023-07-05 07:59,11282.23758833647720963141193,7376.994746495756390626704240
1688558399999,2023-07-05 11:59,11213.60658310007626957390108,7288.313418443337094583067838
1688572799999,2023-07-05 15:59,11197.45752361341387546449903,7276.761713621479854749731338
1688587199999,2023-07-05 19:59,11204.44139707960575243692606,7294.941445800140428913670748
1688601599999,2023-07-05 23:59,11229.67408168024036876355868,7312.406837236548781149754944
1688615999999,2023-07-06 03:59,11258.83070036162841958569524,7309.060462484253137487721793
1688630399999,2023-07-06 07:59,11281.55671217109271394603441,7383.932001891991055926076689
1688644799999,2023-07-06 11:59,11288.24824809116890249107491,7394.325899403419358876345845
1688659199999,2023-07-06 15:59,11220.85795825304540260918222,7288.963037037801363517459660
1688673599999,2023-07-06 19:59,11285.77260175511486846959745,7265.679843650231458868943905
1688687999999,2023-07-06 23:59,11215.44840462787294712081429,7166.331346795723613902637358
1688702399999,2023-07-07 03:59,11247.90572637890768005102190,7223.854953479705391093045325
1688716799999,2023-07-07 07:59,11207.33407419011426388826238,7193.171861195046194191881764
1688731199999,2023-07-07 11:59,11245.74190492883869785567473,7219.851768783191261497346642
1688745599999,2023-07-07 15:59,11303.08317335566672603237485,7285.084502403693661909171954
1688759999999,2023-07-07 19:59,11313.90228060601163700911072,7250.415005238613508410615033
1688774399999,2023-07-07 23:59,11317.68896814363235585096828,7274.026603598292656025963555
1688788799999,2023-07-08 03:59,11328.50807539397726682770415,7257.277950020721264717492476
1688803199999,2023-07-08 07:59,11344.19578090697738774397116,7237.748641204852633689853450
1688817599999,2023-07-08 11:59,11341.49100409439115999978719,7239.750233553109698487702792
1688831999999,2023-07-08 15:59,11318.77087886866684694864186,7241.258019884910529335424033
1688846399999,2023-07-08 19:59,11324.18043249383930243700980,7218.245700671416131659551362
1688860799999,2023-07-08 23:59,11334.45858438166696786490888,7259.627124273765484480237812
1688875199999,2023-07-09 03:59,11326.34425394390828463235697,7260.432555446237788398893355
1688889599999,2023-07-09 07:59,11320.93470031873582914398904,7254.921584417922827955473431
1688903999999,2023-07-09 11:59,11324.18043249383930243700980,7255.326697120743718914559106
1688918399999,2023-07-09 15:59,11304.16508408070121713004844,7275.170028209213158910483478
1688932799999,2023-07-09 19:59,11306.32890553077019932539561,7249.508895169582166502127547
1688947199999,2023-07-09 23:59,11307.95177161832193597190599,7229.922055555679799480298839
1688961599999,2023-07-10 03:59,11304.16508408070121713004844,7228.833764626208293590210694
1688975999999,2023-07-10 07:59,11276.57636059232169413937196,7218.269671837263521657130396
1688990399999,2023-07-10 11:59,11279.82209276742516743239272,7248.928792956075328560714923
1689004799999,2023-07-10 15:59,11298.75553045552876164168050,7266.382198809559985798009602
1689019199999,2023-07-10 19:59,11322.01661104377032024166262,7392.132537728383174097864231
1689033599999,2023-07-10 23:59,11306.86986089328744487423240,7290.056122200442347407063612
1689047999999,2023-07-11 03:59,11330.67189684404624902305132,7305.500744355915722847235239
1689062399999,2023-07-11 07:59,11350.68724525718433433001268,7319.734822636095903409665647
1689076799999,2023-07-11 11:59,11347.44151308208086103699192,7288.315815559921833582825741
1689091199999,2023-07-11 15:59,11351.76915598221882542768627,7334.374013619096974931181731
1689105599999,2023-07-11 19:59,11343.11387018194289664629757,7330.907783037564381281253410
1689119999999,2023-07-11 23:59,11348.52342380711535213466551,7340.522617658952509310203960
1689134399999,2023-07-12 03:59,11339.86813800683942335327681,7332.425157835704168128006264
1689148799999,2023-07-12 07:59,11346.35960235704636993931834,7368.784622193025316455885084
1689163199999,2023-07-12 11:59,11351.76915598221882542768627,7377.474169812704190578284921
1689177599999,2023-07-12 15:59,11367.45686149521894634395329,7317.157922307501478669919489
1689191999999,2023-07-12 19:59,11336.08145046921870451141926,7260.307905383831360411482378
1689206399999,2023-07-12 23:59,11341.49100409439115999978719,7282.488425142421325171362568
