ts,datetime_utc,equity,B&H BTC filtrado (OOS),B&H ETH (OOS)
1705967999999,2024-01-22 23:59,11661.10446533426630077850892,13188.21721066580414714266175,9074.751889251207198623949750
1705982399999,2024-01-23 03:59,11733.15406252424793073106749,13330.45854483912822241941721,9172.627581692229106314970228
1705996799999,2024-01-23 07:59,11687.92100210890289301646041,13241.15879698271843637828107,9111.180782791956137824654086
1706011199999,2024-01-23 11:59,11383.81743384109180665820540,12640.79322986894875166649472,8698.071640217370481764998340
1706025599999,2024-01-23 15:59,11387.42568690549393155566927,12647.91669412041730511585146,8702.973267442982556469075888
1706039999999,2024-01-23 19:59,11290.17605031372786131922303,12455.92508561483685254878851,8570.864610458285919044777815
1706054399999,2024-01-23 23:59,11454.42372980531258665177842,12780.18517834168540556350748,8793.986681768147559574387800
1706068799999,2024-01-24 03:59,11444.45052499012808733978477,12614.06599199743873912450821,8679.680734866873977475299380
1706083199999,2024-01-24 07:59,11444.45052499012808733978477,12594.98710463952729657411746,8762.263350363986212089597909
1706097599999,2024-01-24 11:59,11444.45052499012808733978477,12594.98710463952729657411746,8800.103912545711428805076580
1706111999999,2024-01-24 15:59,11444.45052499012808733978477,12594.98710463952729657411746,8763.714232022767386202004863
1706126399999,2024-01-24 19:59,11444.45052499012808733978477,12594.98710463952729657411746,8678.425918297117286351055528
1706140799999,2024-01-24 23:59,11444.45052499012808733978477,12594.98710463952729657411746,8764.263214272035938568861549
1706155199999,2024-01-25 03:59,11444.45052499012808733978477,12594.98710463952729657411746,8693.130799973953510463288172
1706169599999,2024-01-25 07:59,11444.45052499012808733978477,12594.98710463952729657411746,8735.324007132022249515987705
1706183999999,2024-01-25 11:59,11444.45052499012808733978477,12594.98710463952729657411746,8750.813149164956405580872757
1706198399999,2024-01-25 15:59,11444.45052499012808733978477,12594.98710463952729657411746,8579.883604553412136500280503
1706212799999,2024-01-25 19:59,11444.45052499012808733978477,12594.98710463952729657411746,8698.346131342004757948426683
1706227199999,2024-01-25 23:59,11444.45052499012808733978477,12594.98710463952729657411746,8700.032291107615311646629360
1706241599999,2024-01-26 03:59,11444.45052499012808733978477,12594.98710463952729657411746,8718.776113618355885315021903
1706255999999,2024-01-26 07:59,11444.45052499012808733978477,12594.98710463952729657411746,8617.018332414649214458372007
1706270399999,2024-01-26 11:59,11444.45052499012808733978477,12594.98710463952729657411746,8838.767948101339474070840278
1706284799999,2024-01-26 15:59,11444.45052499012808733978477,12594.98710463952729657411746,8853.982599009639353952296987
1706299199999,2024-01-26 19:59,11444.45052499012808733978477,12594.98710463952729657411746,8856.374593095738046407886831
1706313599999,2024-01-26 23:59,11444.45052499012808733978477,12594.98710463952729657411746,8892.332930422828226436999723
1706327999999,2024-01-27 03:59,11444.45052499012808733978477,12594.98710463952729657411746,8917.625326906986531910039871
1706342399999,2024-01-27 07:59,11444.45052499012808733978477,12594.98710463952729657411746,8856.139314988908666822091108
1706356799999,2024-01-27 11:59,11444.45052499012808733978477,12594.98710463952729657411746,8883.706066505750974957823238
1706371199999,2024-01-27 15:59,11444.45052499012808733978477,12594.98710463952729657411746,8902.136184874052375845154819
1706385599999,2024-01-27 19:59,11444.45052499012808733978477,12594.98710463952729657411746,8911.978652343081421850942535
1706399999999,2024-01-27 23:59,11444.45052499012808733978477,12594.98710463952729657411746,8893.352468885755537975447853
1706414399999,2024-01-28 03:59,11444.45052499012808733978477,12594.98710463952729657411746,8968.759102124571695222976851
1706428799999,2024-01-28 07:59,11444.45052499012808733978477,12594.98710463952729657411746,8952.093569557490641229113188
1706443199999,2024-01-28 11:59,11444.45052499012808733978477,12594.98710463952729657411746,8944.878374281389667264711038
1706457599999,2024-01-28 15:59,11444.45052499012808733978477,12594.98710463952729657411746,8902.096971856247479247522199
1706471999999,2024-01-28 19:59,11444.45052499012808733978477,12594.98710463952729657411746,8838.258178869875818301616213
1706486399999,2024-01-28 23:59,11444.45052499012808733978477,12594.98710463952729657411746,8850.061297229149694189034949
1706500799999,2024-01-29 03:59,11444.45052499012808733978477,12594.98710463952729657411746,8909.704297310397419188250553
1706515199999,2024-01-29 07:59,11444.45052499012808733978477,12594.98710463952729657411746,8859.864551680373843597190045
1706529599999,2024-01-29 11:59,11444.45052499012808733978477,12594.98710463952729657411746,8878.569161173309520667949968
1706543999999,2024-01-29 15:59,11444.45052499012808733978477,12594.98710463952729657411746,8924.173900880404263714687475
1706558399999,2024-01-29 19:59,11444.45052499012808733978477,12594.98710463952729657411746,8993.424090323851655133895073
